filename,genre,id,title,author,year,subjects,locc,source_url
nonfiction\22542_Jesus_the_Christ_A_Study_of_the_Messiah_and_His_Mi.txt,nonfiction,22542,"Jesus the Christ
A Study of the Messiah and His Mission According to Holy
Scriptures Both Ancient and Modern","Talmage, James E. (James Edward), 1862-1933",2007,Jesus Christ -- Biography; Jesus Christ -- Mormon interpretations; Christian biography -- Palestine,BX,https://www.gutenberg.org/ebooks/22542
nonfiction\20439_Susan_B_Anthony_Rebel_Crusader_Humanitarian.txt,nonfiction,20439,"Susan B. Anthony
Rebel, Crusader, Humanitarian","Lutz, Alma",2007,"Anthony, Susan B. (Susan Brownell), 1820-1906",JK,https://www.gutenberg.org/ebooks/20439
nonfiction\20203_Autobiography_of_Benjamin_Franklin.txt,nonfiction,20203,Autobiography of Benjamin Franklin,"Franklin, Benjamin, 1706-1790; Pine, Frank Woodworth, 1869- [Editor]; Smith, E. Boyd (Elmer Boyd), 1860-1943 [Illustrator]",2006,"Franklin, Benjamin, 1706-1790; Statesmen -- United States -- Biography",E300,https://www.gutenberg.org/ebooks/20203
nonfiction\4363_Beyond_Good_and_Evil.txt,nonfiction,4363,Beyond Good and Evil,"Nietzsche, Friedrich Wilhelm, 1844-1900; Zimmern, Helen, 1846-1934 [Translator]",2003,"Ethics; Philosophy, German",B,https://www.gutenberg.org/ebooks/4363
nonfiction\71046_Modern_English_biography_volume_2_of_4_I-Q.txt,nonfiction,71046,"Modern English biography, volume 2 (of 4), I-Q","Boase, Frederic, 1843-1916",2023,Great Britain -- Biography -- Dictionaries,CT,https://www.gutenberg.org/ebooks/71046
nonfiction\408_The_Souls_of_Black_Folk.txt,nonfiction,408,The Souls of Black Folk,"Du Bois, W. E. B. (William Edward Burghardt), 1868-1963",1996,African Americans,E151,https://www.gutenberg.org/ebooks/408
nonfiction\72679_The_lesser_Key_of_Solomon_Goetia_the_book_of_evil.txt,nonfiction,72679,"The lesser Key of Solomon, Goetia, the book of evil spirits","De Laurence, L. W. (Lauron William), 1868-1936 [Editor]",2024,Magic; Occultism,BF,https://www.gutenberg.org/ebooks/72679
nonfiction\6400_The_Lives_of_the_Twelve_Caesars_Complete.txt,nonfiction,6400,"The Lives of the Twelve Caesars, Complete","Suetonius, 69?-122?; Forester, Thomas [Editor]; Thomson, Alexander, M.D. [Translator]",2004,"Rome -- History -- Empire, 30 B.C.-284 A.D.; Emperors -- Rome -- Biography -- Early works to 1800",DG,https://www.gutenberg.org/ebooks/6400
nonfiction\75617_The_British_battle_fleet_Vol_2_of_2.txt,nonfiction,75617,"The British battle fleet, Vol. 2 (of 2)","Jane, Fred T. (Frederick Thomas), 1865-1916; Wyllie, W. L. (William Lionel), 1851-1931 [Illustrator]",2025,"Great Britain -- History, Naval; Great Britain. Royal Navy -- History; Warships -- Great Britain -- History",DA,https://www.gutenberg.org/ebooks/75617
nonfiction\4367_Personal_Memoirs_of_U_S_Grant_Complete.txt,nonfiction,4367,"Personal Memoirs of U. S. Grant, Complete","Grant, Ulysses S. (Ulysses Simpson), 1822-1885",2004,"Generals -- United States -- Biography; Grant, Ulysses S. (Ulysses Simpson), 1822-1885; United States -- History -- Civil War, 1861-1865 -- Campaigns; Mexican War, 1846-1848 -- Personal narratives; Presidents -- United States -- Biography; United States. Army -- Biography",E660,https://www.gutenberg.org/ebooks/4367
